username,content,sentiment
gtobing2903,@Rasto66010876 @beacukaiRI @kemenkeu @jokowi @mohmahfudmd @DPR_RI @PPATK Iya om benar banget,Positif
Adibalanshori21,"@Earthquakesale @__AnakKolong @mohmahfudmd @PolhukamRI Si bangsat anak kolong ini buzzernya koruptor2 di Kemenkeu, makanya dia nyinyir mulu sama mahfudz MD",Negatif
OphixHoki,"@logikapolitikid wouyyy @KPK_RI melek dongg,,, masa iya masih mau percaya maling duit negara... kemenkeu aja di akalin sama dia,, masa iya lembaga pemberantasan korupsi mau dikibulin kan ga lucu",Negatif
Audee_Jr,"@detikcom Bener jg sih, 2 periode beliau menjabat, klo nggak salah gaji naik hanya 1 kali. Padahal dengan adanya inflasi, PNS rendahan juga terkena dampaknya. 
Semoga ada kebijakan yang pro dengan PNS. Satu hal lagi, jangan samakan PNS yg ada dgn PNS yg kerja di Kemenkeu.",Positif
agungnurh17,"@AirinDatangLagi 491 ASN Kemenkeu terlibat,bgitu hancurnya hati Bu Sri Mulyani,serasa dtikam dr belakang,",Positif
artasindo,@KompasTV Mungkin kan masuk dlm list nya data Kemenkeu jadinya sewot,Negatif
DwipaAlfarisi,bu menteri sebenarnya dah tahu apa ga ya soal bobroknya kemenkeu?,Positif
dyerquacker,"@03__nakula Pejabat Kemenkeu....
Hhhmmmmmmm......
Kyknya seh......
😀😀😀🤭",Negatif
rinnjanni,@Avocado2Juice @DonAdam68 Gak hanya di KPK atau di Kemenkeu..kayaknya di semua instansi orang lurus tuh ditakuti..jadi kalo bisa disingkirkan saja..diganti sama yang bisa diajak main2..,Negatif
ira2516,@keuangannews_id Mgkin dikiranya DPR itu kantor miliknya makanya disuruh hentikan polemik mencurigakan kemenkeu,Negatif
DokFun,"@mantriss Ketakutan itu mestinya membuat waspada

Ketakutan berlebihan malah membuat lupa akan prioritas. Dan ini yg terjadi di Kemenkeu saat ini hehehe",Positif
IsminovZubeir,"@keuangannews_id benerrr Om ndro, ngapain berpolemik. Tindak, sidik, bersihkan institusi kemenkeu.
punya nyali gaa.., jangan omdo.",Negatif
lintang_ayoe,"@FirzaHusainID Buka kotak pandora keseluruhan ASN Kemenkeu (ga cuma DJP, Beacukai juga dong)",Positif
WongAlasRoban,@JerapahJeri Paling tinggi di Kemenkeu dg pangkat/gol yg sama,Positif
tommymks,"@KompasTV Ya udah di umumkan saja ....... yg penting jujur dan adil pilpresnya ........
Kok ngurus sepakbola dan copras capres, mending urus tu kkn di kemenkeu dan utang 7800 trilyun serta inport beras dan gula",Positif
kecoasu,@Rezafadilah99 Masih ada pejabat kemenkeu dan mentri2 🙂,Positif
BRidwan908,@_CocoteTonggo_ @KemenkeuRI Tetap semangat bu menteri SMI.. Maju terus pantang mundur menghadapi segala masalah internal kemenkeu.. Semoga ibu sehat selalu dan selalu dlm lindungan Allah SWT.. Aamiin YRA,Positif
hari_bdl,"@jokoanwar Ini semua pada menghajar DPR, seolah lupa pangkal keributan ini adalah pejabat2 di instansi Kemenkeu yg korup.",Positif
SalJu_SoYaLa,@MariaAlcaff @HelmiFelis_ @f_fathur @lokaturu @IlhamUav @alfajri221810 @DamaiHariLubis Halaah serius jga kagak dpet bagian 349 T dr Kemenkeu @KemenkeuRI 🤣apaan yg dibahas coba ituu,Negatif
haniyulilagi,"@SadatMart @hc_poirot Heru pambudi itu mantan dirjen bea cukai, skrg jd sekjen kemenkeu, bukan dr pajak",Positif
jedmosely,@Paltiwest tp yg reply banyak buzzernya 😌 kemenkeu pake jasa buzzer kah?,Negatif
PapahGedang8,"@kemenkeu SRI MULYANI HARUS DIPECAT

Jika tidak DIPECAT
Berarti
Joko w
Adalah rajanya para BANGSAT KEPARAT

Ayo Joko w
Pecat dan PENJARAKAN SRI MULYANI beserta seluruh pejabat di KEMENKEU.
Rampas harta mereka
Kebalikan ke kas negara.",Negatif
Lausala10,"@Been4Q59 Disesuaikan dgn kondisi saat ini, dimana banyak uang rakyat ( 349 T ) yg diembat sama elit Kemenkeu.",Positif
emha_baraja,"@AntiPekines DPR udah pasti mundur.
Seiring DPR mundur, kemenkeu tidak akan kooperatif, mahfud akan ngang ngong ngang ngong sendiri. Bisa2 lenyap tanpa jejak itu profesor",Negatif
amirsyahoke,"@Bejo15051681341 @Sepur206 @prastow @PartaiSocmed @mohmahfudmd Kan emang udah ada fitnah duluan?
Saat nuduh pejabat kemenkeu menyembunyikan kasus 189T.",Negatif
Gilar1990,@ulil Isu utama dan penyakit kronis di Indonesia ini adalah KKN bukan khilafah radikal radikul 🤣😂 KKN yg bikin rakyat Indonesia sengsara .mulai dari dana mencurigakan 300'an triliun di Kemenkeu dan lain sebagainya .,Negatif
Panji70520039,"@prastow @PartaiSocmed Bikin tabel rekapan dulu lah baru detailnya, misl: untuk rentang waktu - sd - Ada berapa PT &amp; Perorangan serta Pegawai Kemenkeu yg terlibat. Jumlah X kasus import dg nilai Rp X, jumlah Y kasus export dg nilai Rp Yy, dengan perkiraan pidana, STATUS TINDAKLANJUT",Positif
bernadgh,@AkuAtikaFaya Ayo Bu Sri Mulyani cuci Bersih Oknum 2 di Kemenkeu.... 👍🏼👍🏼👍🏼👍🏼👍🏼💖💖💖💖💖🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🕊🕊🕊🕊🕊,Negatif
TongTji789,@logikapolitikid Om... Bahas emas batangan slundupan Sekjen Kemenkeu dong,Negatif
WilayahB,@fajarnugros Tobat aja sih bapak.. drpd ada masalah baru. Masih kurang cukup nyenggol &amp; dibacok kemenkeu? Masih nyenggol TN? Astaghfirullah Tuhanku Yang Maha Kuasa,Positif
wa_one1,@keuangannews_id Nih lg org GeeR...bisa2nya merintahkan DPR...Usut tuntas transaksi mencurigan Kemenkeu 394 milyar ??? 🤣😅😜,Negatif
rdhnthp,"Kalo LHA dikirim ke Kemenkeu, berarti indikasi TPA-nya: pajak/kepabeanan&amp;cukai, dan kalo begitu, berarti penjelasan YP konsisten. Kasus tarif impor yg dulu itu cm beda 'persepsi identifikasi barang', dan kasusnya udah clear. Ngapain lu goreng lg?",Positif
yudhajuni,"@KepaArgawinata2 Demo jalanan efek nya kecil, lihat netijen ngamuk di medsos , data data rahasia keluar semua, pemerintah, kemenkeu, dpr kelabakan. Jaman sudah berubah lempar batu hanya merusak prasarana umum saja",Positif
DataPrint9,@ulil Isu ratusan triliun di kemenkeu maseh.. bayangkan uang tsb buat orang2 pengangguran.,Positif
Nada10062503,"Perlahan TAPI Pasti KEBOBROKAN ITU NAMPAK DGN IZIN ALLAH SWT......
1.Kepolisian
2.Kemenkeu
3.Bea CUKAI
4.DPR
Terakhir BAGAIMANA DGN ENTENGNYA SEORANG ANGGOTA PARTAI MENGATAKAN kalau mereka BEKERJA SESUAI DGN INSTRUKSI KETUM.",Positif
JNotobotosongo,"@WAHYU_UNIFORM @Leonita_Lestari @__AnakKolong Ada ga satu aja borok itu yang sudah terkelupas dari usahanya membuka??

300T? 

Terjadi di Kemenkeu?

189T? 

476 pegawai Kemenkeu?

Sudah jadi HEBOH iya...

Seandainya beliau mau bicara bertiga di ruang tertutup, tentu lain ceritanya. Itu benar murni ingin memperbaiki.",Negatif
raegspatter,@frsp_ Bismillah dapet mertua pejabat kemenkeu,Positif
KhoiriZainudin,@geloraco Masih lebih banyak rugi di tppu pegawai kemenkeu,Negatif
agus37,@BosPurwa Masuk PNS Kemenkeu ya yg gede tukin nya.  ..,Positif
arya_Kgankster,@mohmahfudmd Cara cerdas Prof @mohmahfudmd mendesak para penegak hukum dengan mengumumkan ke media. Saya yakin di internal pak mahfud sudah teriak2 tapi tidak di respon makanya diekspose masyarakat yang mendesak. Terbukti dengan banyaknya surat yg sudah dilayangkan ke APH dan Kemenkeu.,Positif
IpungLombok,Sri Mulyani belum bicara krisis moral yg sistemik paling tidak utk lingkungan Kemenkeu @KemenkeuRI,Positif
Iqbalnyamala,"@DonAdam68 @kafiradikalis Teman saya yg jenggotan akhirnya cuma jadi widyaswara alias dosen di diklat kemenkeu. Padahal pinter, SMA program akselerasi dan diterima di STAN. Jauh dari posisi basah.",Positif
ihsanjais21,@detikcom kalo boleh tukin pegawai lingkup kemenkeu saja yg 50 %,Positif
dbrahmantyo,"@PNS_Garis_Lucu Gaji ataupun kesra (lainnya untuk) guru bukan hanya dari Kemendikbudristek, kak. Setidaknya ada unsur Pemda, Kemendagri, Kemenkeu, dan Kemenpanrb yg juga terlibat dalam kebijakannya.",Positif
batambun,"@bachrum_achmadi Seharusnya Kemenkeu menerima pegawai dari lulusan Universitas lain sehingga ada persaingan antar alumni.
Jika satu instansi hanya diisi oleh alumni sekolah kedinasan maka mereka akan  mencontoh dalam kejelekan.",Negatif
basukining,@democrazymedia Hmmm siapa dia ??apa kaitamnya dengan kemenkeu ?? Apa ada alirannya yach sampai segitunya,Positif
Mackemot1,"@virgozian @logikapolitikid Yang bilang alm ayah saya,yg sdh meninggal 30th yg lalu,yg bekerja 20th lebih di kemenkeu,kamu aja mungkin belum lahir...kok ngeyel...",Positif
amirsyahoke,"@Taqim35937476 @boedyirh @__AnakKolong @DPR_RI Kentara gak baca &amp; gak paham informasi kredibel yg beredar.😂

Mahfud: kasus 189T disembunyikan. Nuduh ada pejabat kemenkeu yg menyembunyikan.

FAKTA: kasus sudah diproses hukum, malah prosesnya dimasa pejabat yg dituduh tersebut.",Negatif
Hyudi15,@BennyHarmanID Harus di buka seterang terangnya pak @mohmahfudmd  kasus di kemenkeu masyarakat memantau agar jelas,Positif
AlimMaktour,"@DNofers @ShaaShaSuliXO @__AnakKolong Heran..sama Mister Mahmud, satu barisan tp saling menjelekkan. Klau Rizal Ramli menjelekan SMI sih masuk akal..!! Pertama katanya korupsi di Kemenkeu 345trilyun, berubah lagi pencucian uang 189trilyun, turun lagi jadi 34trilyun. Gmn sih Mr Mahmud..?! Bisanya bikin heboh aja",Negatif
giosseve,Para atlet yg pengen jadi PNS kalau bukan masuk kemenkeu mah ntar jg bakal nyesel,Negatif
k3s4w4,@novieardeanne @prastow @beacukaiRI Nah ini menarik. Jangan jangan masalah nya bukan di kemenkeu nya. Tapi ditempat lain. Duh.... Bisa ga ya dirunut semua sampai putusan kasasi nya ini.,Negatif
amirsyahoke,"@boedyirh @__AnakKolong @Taqim35937476 @DPR_RI Trus, nuduh ada pejabat kemenkeu yg menyembunyikan data (kasus 189T) itu bisa dimaklumi? 😂

Sebagai ketua tim kok gak tahu, jika kasus tersebut sudah diproses hukum? Proses hukum kan terbuka? Kemana aja ybs. sebagai ketua tim?",Negatif
Sepur206,"@fed_fun @prastow @PartaiSocmed Kan kasus 189T data PPATK hasil kerjasama dg Kemenkeu, udah diusut bahkan sudah P-21 ke pengadilan.

Kok bisa dibilang teledor?

Kalau teledor itu dari awal ga diusut sengaja disembunyikan. Tapi ini kan diusut, apalagi sampai masuk ke pengadilan, sampai PK pula",Negatif
BabangDullah,@SiaranBolaLive Masuk kemenkeu boleh juga,Positif
AlimMaktour,@DNofers @ShaaShaSuliXO @__AnakKolong Kemaren nyalahin Kemenkeu otomatis Menkeu hrs bertanggung jawab. Sekarang omongannya beda lagi. Dikerjain anak buahnya. Ngomong kok mencla-mencle Mr. Mahmud... Hadeeh.,Negatif
xxleksixx,@logikapolitikid Bentuk pansus…. Bongkar mafia kemenkeu khususnya pajak dan BC yang sementara jadi kaum “kaya”,Negatif
Harakiri1107,"@iskandar45v @GeiszChalifah Ahahahahah terlalu bnyak maslah di Konoha ini, ,pssi kanjuruhan, pildun gagal, petinggi polri main Sabu, kilang mnyak ambuar ancur, korupsi 345T Kemenkeu, Korupsi indo surya, BBM NAIK, BERAS NAIK TAJAM, APA LAGI WOOWWWWW",Negatif
FriedkinShow,"@Heraloebss Disaat pegawai kelurahan udah mulai sigap online tanpa pungutan apa”
Ternyata di kemenkeu masih hidup di dunia gelap,, pajaklah bea cukai lah … COK GOBLOK!!",Negatif
fed_fun,"@Sepur206 @prastow @PartaiSocmed 189T kebocoran negara jelas ada di PPATK aliran keluar masuk uang, sy lebih percaya pak Mahfud MD dan PPATK, justru kemenkeu khususnya Bea cukai yang harusnya itu pekerjaan mereka malah justru teledor bgt gk bisa melihat peluang kebocoran atau malah sengaja karena ulah oknum",Negatif
yosaris9,"@Msimsims2ND @__AnakKolong @mohmahfudmd Sependapat, MMD punya kewenangan dan kapasitas serta kemampuan untuk mengkoordinasikan PPATK, BIN, APH, Kemenkeu, BPK untuk menyelesaikan masalah tersebut hingga sampai ke pengadilan, siap semua departemen baru diungkapkan ke publik. Sekarang malah saling sikut, rebut bener.",Negatif
ah_faishal_abd,@mohmahfudmd ((Dugaan korupsi di kemenkeu 35T)),Negatif
amirsyahoke,"@boedyirh @__AnakKolong @Taqim35937476 @DPR_RI Kalo tentang bangsa, maka sebagai ketua tim pemberantasan TPPU akan bekerja giat menyelesaikan kasus² tersebut dengan berkordinasi ppatk, kemenkeu, aph. Setelah itu bolehlah konpers.
Bukannya malah ribut sendiri dulu, nuduh dulu, tahunya datanya ada yg salah.",Negatif
apaytalemponk,"@doflamin6o Bener, mayoritas orang keteguhannya ga setingkat pejabat pajak-kemenkeu",Positif
3M4rl3n4,@giginpraginanto ngak salah bupati widi kemenkeu sarang setan,Negatif
JM27372105,@DPR_RI Apa yg di sayangkan? Melawan lupa atau bloon? Jelas prof mahfud jelaskan bahwa tidak ada undangan u kemenkeu.. ralat tuh supaya jd pintar..,Negatif
amirsyahoke,"@Sepur206 @__AnakKolong @mohmahfudmd Yg bilang gak sampai ke menkeu siapa? 😂
Justru yg aneh, kok bisa mahfud md gak tahu kalo sudah diproses hukum? Proses hukum kan terbuka luas, bukan rahasia. Pejabat kemenkeu tahu semua.
Kok ujug² mahfud nuduh pejabat kemenkeu sembunyikan info kasus 189T?🙂",Negatif
Sepur206,"@amirsyahoke @__AnakKolong @mohmahfudmd Misal kasus 189T itu udah sampai pengadilan sampai PK di MA pula. Meskipun Kemenkeu kalah.

Masak hal ini ga disampaikan ke Menkeu? Atau emamg hal itu ga perlu disampaikan ke Menkeu karena dianggap udah selesai cukup sampai Dirjen &amp; Sekjen aja.",Negatif
anovaway,@CNNIndonesia Kirain pusing gara gara masalah di Kemenkeu. Gak taunya cuma gegara bola. Gak ketolong.,Negatif
Sepur206,"@__AnakKolong @mohmahfudmd Kesimpulan ane;
- Triger awal kasus ekspor
- Dikembangkan ke impor
- Di kasus ekspor Kemenkeu proses sampai PK, meski kalah
- Di kasus impor hasil pengembangan, kemenkeu berhasil mengoreksi SPT &amp; pajak impor perusahaan
- Mahfud salah paham, 189T itu kasus ekspor, bukan impor",Negatif
thelaw_m,"@BennyHarmanID TEMBAK TERUS KEMENKEU N P. MAFUD, AP ANDA PAHAM PK??

TANYALAH KPD HAKIM YG MEMUTUS PK TTG 189T . 

BGTUKAH @prastow",Negatif
thelaw_m,"@BosPurwa @prastow 

Sbb udh jelas, udh diusut oleh kemenkeu 189T export emas yg diimage sbg perhiasan dan diputus bebas saat PK. KEJAR TUU HAKIM AP PUTISAN PKNYA TULUS?? GTU KHAN P. YUS?? HEHEE",Negatif
AsepWitoko,"@dolgandot Kena prank kemenkeu kayaknya, habis lebaran kayaknya 🤭🤭",Negatif
Sepur206,"@fed_fun @prastow @PartaiSocmed Di pengadilan itu kasus ekspor, sedang kasus impor timbul krn pengembangan kasus ekspor.

Kemenkeu merasa ga pernah nangani kasus impor 189T, mereka merasa 189T yg ditangani itu cuma terkait ekspor, bukan impor.

Makanya saya bilang, bisa jd Mahfud salah paham.",Negatif
2ez4_ar,tapi saya ttp istiqamah jadi pejabrut Kemenkeu 😇,Positif
Hashas_TM81,"@Candra4smara Iya..
Krn klean dan kaum minoritas (yg meskipun brisik) aman dan nyaman.

Meskipun
Bansos
Kemenkeu
Bea cukai
Sambo
Dll
Berkasus....",Negatif
Makmur13745478,"@geloraco Dulu cuma direksi bank century ditangkap salah satunya Robert Tantular, kalau 349 triliun di kemenkeu mengalir ke mereka.. coba usut perusahaan cangkang itu pasti ada saham mereka.. saat ini mereka justru melawan jangan sampai diusut, menghilangkan jejak, sembunyikan aset..",Negatif
BeginiCeritany1,"@CNNIndonesia Pdhl saya emosinya gara2 kasus 349T itu pak...itu di bawah bapak juga lho, kemenkeu kan?",Negatif
ajigees,"@prastow Terimakasih mas Prastow atas keterangannya. Sejak awal sudah saya duga bahwa pasti ada perlawanan dari WP untuk menghindari tuntutan, makanya sampai ada PK dan mereka menang. Kalau sudah dilimpahkan ke pengadilan pastinya Kemenkeu akan mentaati putusan finalnya. AFAIK.",Positif
Suga61166612,@geloraco Masih kecil jika dibanding transaksi ilegal 359 T di Kemenkeu,Negatif
SiahaanSabeth,@KompasTV Lucu anggota DPR. Kenapa mati2an membela kejanggalan di Kemenkeu lalu marah ke pak Mahfud. Harusnya DPR minta KPK dan polisi mengusut kejanggalan. Ini akibat DPR dikuasai pemerintah.,Negatif
SolikinSutanto,"@__AnakKolong @mohmahfudmd Yg muncul  seakan2 ada korupsi/pencucian uang 349T di jajaran kemenkeu. Padahal itu jumlah trx mencurigakan yg diperoleh PPATK. satu contohnya adalah trx 189T yg dilakukan 15 entitas yg smp proses hukum. Masa mau dibilang itu pencucian uang  kemenkeu? Selidiki kasusnya,oknumnya",Negatif
Sw34567689,@republikaonline Bagaimana mau capai target pejabat pejabat dan karyawan karyawan Kemenkeu nya aja memberikan contoh yang salah seperti itu ?? Yah warga masyarakat nya nggak salah klw niru yang menjadi panutan (dalam departemen dan institusi apapun juga) jadilah pejabat/karyawan yang amanah,Negatif
arhamkautsar,"@doesnoventa @Enda_Mahendra @Dsinathrya @emsthea Semakin besar pembayaran pajak, alokasi ke sektor2 seperti pendidikan, infrastruktur, keamanan, dan lain sebagainya tentu akan semakin meningkat. Bisa dicek juga di setiap rilis resmi kemenkeu setiap bulannya, yg salah satunya yaitu pos anggaran pengeluaran negara.",Negatif
nepriadi74,@alextham878 @jokowi Terutama gimana caranya bayar utang dan menyelesaikan masalah pencucian uang 349 T di kemenkeu sebagai bawahannya,Negatif
Sepur206,"@HardimanTito @lhaopoo @Shofiakhairus @zhembuth @prastow @PartaiSocmed Semangat netizen &amp; Pak Mahfud itu bener, ada indikasi pelanggaran maka harus dibongkar

Tp ternyata 189T Kemenkeu udah proses, sampai PK pengadilan, diputuskan bukan pelanggaran

Dan itu ternyata bukan kasus internal KKN pegawai, tapi terkait kasus yg disidik Bea Cukai &amp; DJP",Positif
dundun2d,@KompasTV klw ga boleh disudutkan.. kemenkeu nya di ketengahkan aja biar terlihat terang benderang.,Negatif
beritaindo,Kemenkeu Jelaskan Modus Dugaan Penyelundupan Emas Rp 189 T  {EntryUrl}},Negatif
AF16001,@Zain_Nur_Salim1 @pppkguru Karena Kemenkeu yang paling penting,Positif
amirsyahoke,"@Bella68710210 @mohmahfudmd @jokowi Kengawuran fatalnya: 

Menuduh ada pejabat kemenkeu yg menyembunyikan informasi kasus 189T, padahal kasus itu sudah selesai diproses secara hukum. Malah proses hukum dilaksanakan di masa pejabat yg dituduh tersebut. 

Jadi: 
- ketua tim kok gak tahu? Apa gak baca laporan berkala?",Negatif
PrasieOet,"@tawajkt Smoga nitizen tetap fokus awasi ke kasus besar kemenkeu,jgn diperalihkan ke ledakan baru kilang minyak.",Negatif
amirsyahoke,"@Troy5620 @__AnakKolong @chenoa2104 Makanya ketahuan, mahfud gak tahu tapi ribut. Setuju?😂

Mahfud gak tahu kasus 189T sudah diproses hukum.🙂

Setelah ketemu Kemenkeu, dijelaskan: kasus 189T itu sudah diproses hukum.
Baru deh mahfud bilang clear.😀",Negatif
arnold5508,@kodok_anti @prastow Pernah saya berkomentar terhadap twit Eko - PNS Kemenkeu yang curhat sudah berinisiatif - mana ada ceritanya bottom up initiative yang berhasil di Nusantara kecuali demo wave karena budaya paternalis yang melekat,Negatif
Trimoselatpanj1,@detikcom Alhamdulillah....bisa juga pegawai pajak dan pegawai Kemenkeu beli Rubicon dan jam tangan seperti pak Ngabalin😂😂😂,Negatif
Frmnsyh_10,"@hansdavidian Pengen cepet kaya dan dapet duit kenceng mah belajar yg pinter, kuliah di stan terus kerja di kemenkeu, bukan percaya sama yutuber² finance, investasi segala rupa 😂",Negatif
BNarararya,"@tukangnya_ra @alchudriysaid @mbaktee @CNNIndonesia Kalo yg lain biasanya sampe grade 17.
Kalo di Kemenkeu itu sampe grade 27.
Jadi grade 8 di jelata itu sebenernya gak equal dengan grade 8 di Kemenkeu.
Begitu",Negatif
doirze,"@IMCMushroom Klu diungkap MALU2IN ya pak, mirip surat PPATK yg dihilangkan di Kemenkeu",Negatif
mukamukyapepaya,@Peternaklelee @baedhowie @jsamodra Kalau ASN lain apa dapet insentif kalau capai target atau lewat target? Atau cuma kemenkeu doang karena mereka yg pegang bendahara?,Positif
panduwijaya_,"@Irwan959510 @Paltiwest Wah paham rupanya, diksi gossip juga gak paham. Ketawa lu buat nutupin ketidak tahuan lu sih.
Kasus korupsi Apbd bekasi terdakwa eks walikota mochtar mohammad. Jelas2 kpk dan kemenkeu valid datanya, trnyta Vonis di pengadilan dia Bebas murni, sanggahan data2 &amp; pledoi ybs di akui.",Negatif
RadenSyamill,"@m_mirah @idafauziyah @KemnakerRI Negara Milik Bujjer saat ini, segala keputusan atas masukan dan pertimbangan bujjer, keren kan, 
Semua bujjer solusinya, bahkan kemenkeu yang kemarin ngundang para inpluenser kan gak masuk akal itu, entahlah mereka yg berkuasa mereka yang menentukan skrg semoga cepat selesai",Negatif
HardimanTito,"@lhaopoo @Shofiakhairus @zhembuth @prastow @PartaiSocmed apakah netijen mencari kebenaran.. atau hanya keributan???
kemenkeu banyak PR untuk berbenah, tapi yg benar ya harus di support",Positif
Rahmat42685676,"@geloraco Baru urusan bola aja udah pusing 2 minggu, apalagi ngurusin kasus di Kemenkeu? Wes pak ,mending mundur, urus anak cucu aja sambil banyak² istighfar.",Negatif
kodok_anti,@EkoSajaaa @txtdrdraft @PartaiSocmed @prastow Prastowo cuma pegawai honorer kemenkeu yg tugas nya suruh berbohong dan berkelit tentang semua masalah dan aib nya kemenkeu paham kau,Negatif
chresly_lela,"@NenkMonica Mewakili kemenkeu bu,sama2 ngabisin duit rakyat",Negatif
amirsyahoke,"@Troy5620 @__AnakKolong @chenoa2104 Selesai apanya?😂
Jelas sudah selesai sebelum mahfud bikin viral. 
Pertanyaannya: kok bikin viral kasus (189T) yg udah selesai? 
Kok nuduh pejabat kemenkeu (pake sebut nama) menyembunyikan informasi?",Negatif
anis_metropool,@yaniarsim @kemenkeu @DitjenPajakRI Tunggu pembalasan sipiting,Negatif
amirsyahoke,"@Troy5620 @__AnakKolong @chenoa2104 Itu jg kemenkeu pasti tahu dan sedang berproses. 

Situ yg harus baca dgn lengkap, biar gak asal dukung. 
1. Menuduh pejabat kemenkeu meyembunyikan informasi. 
2. Kasus 189T yg sudah diproses, masih diungkit, dicurigai seolah dibiarkan. Pdhal diproses di masa pejabat yg dituduh.",Negatif
rixdh,"Padahal duit kemenkeu 3,3 triliun, banyak perusahaan sampai 11 triliun bahkan ratusan triliun gak ada hubungannya dengan kemenkeu, mau pamer apa?",Negatif
Joe_Richardo93,"@03__nakula Blm diperiksa apa2 udh ngk ada indikasi 😆😆. Klu yg periksa mreka sm mreka ya hsilnya bersihlah, saling melindungi gt lho. Ksus RAT hrsnya jd pintu msuk priksa slruh pgwai kemenkeu, si tikus rat sj sdh dittpkn trsgka mnrima gratifikasi slma 12 thn olh KPK. Ngk yakin cm dia sdri.",Negatif
CahyadwiH,"@prastow Kereeeen tim kemenkeu... Tdk pernah mengecewakan. Satu dua org terbukti korupsi, jgn sampai mendegradasi perjuangan pegawai2 lain yg sdh baik dan jujur. Terus berproses, trus berbenah, pegang kokoh integritas.. Bravoo",Negatif
shiyaaap,@madHink @PNS_Ababil tp lulusan skrg gak pasti masuk kemenkeu kan? 😔,Positif
IndonesiaB001,"@Paseban_Qolbi @__AnakKolong @chenoa2104 Nyampaikan data bilang menghalangi penyelidikan? Padahal penyelidikan belum dimulai. Bilang 187 T tidak ditindaklanjuti nyatanya uda sampai PK. Bilang ada TPPU oleh ratusan pegawai kemenkeu. Nyatanya itu korporat, chuaks",Negatif
ibupertiwi206,"@KompasTV Saya juga heran Ama bpk ini, udah jelas prof Mahfud mengajak membongkar TPPU di Kemenkeu malah dibilang Nunung lamaran dari parpol, gini nih kalau kepala isinya...",Negatif
IndonesiaB001,@__AnakKolong Susah klo uda fanatik dan sudah punya prejudice tertentu. Mislead makin melebar. Apalagi narasi awalnya TPPU 300an T melibatkan ratusan pegawai kemenkeu. Sangat uwow yang mulia,Negatif
amdinoya,@deus_xmchn @PNS_Garis_Lucu Becuk ya kemenkeu juga atuh 🤭,Negatif
bernekelbhoi,"@__AnakKolong @mohmahfudmd @PolhukamRI Setuju min. Kalo didiemin yg rusak citra pak presiden kayak gini. Pajak itu penting,  perlu kepercayaan orang disana. Kemenkeu penting, ada kepercayaan pemerintah negara lain disana soal utang dan investasi. Ini belum terbukti apa2 tp udah koar2",Negatif
IndonesiaB001,@GilangArthaP @KemenkeuRI Yg bangun kan pupr kak. Kemenkeu mana bisa,Positif
ukhtielya,"@BennyHarmanID Ini karna menkeu nya terlalu lama jd sdh ga takut lg melakukan apa2 anak buahnya ksrna bos selalu melindungi anak buahnya ..
Kenapa sdh d separah ini kemenkeu msh aja d pertahankan sama pakde aps ga ada niat buat bersih2 kemenkeu nya ???",Negatif
anakbaik612,@HermesWijaya @FaizDila04 @madHink Nah mungkin bs dijawab langsung sama pembuat kebijakan. Kenapa kemenkeu begitu diistimewakan. Dari kacamata awam seperti saya mungkin jika dalam sebuah perusahaan. Bagian keuangan/ marketing pasti dapat insentif lebih daripada bagian admin.,Positif
JohnBlack03,@yaniarsim @kemenkeu @DitjenPajakRI kapan kanjeng vs MD? seru ntar ni,Negatif
anakbaik612,@FaizDila04 @madHink Kemenkeu ga kerja gur n nakes jg gak kerja. Ga dapat gaji. Utang numpuk. Negara dijual. Selesai,Negatif
AdiPrajus,"@habibihabobo @prastow @PartaiSocmed Iya ini kesimpulan bisa dipake buat yg kemenkeu jelasin tapi kalau buat yg partai sosmed jelasin dan dari laporan tempo justru ada permasalahan pemalsuan dokumen dan ini dilakukan bukan cuman oleh PT Q Tapi PT lain, PT Q apes aja karna diketahui lakukan penyelundupan (poin 3, 4)",Negatif
AdiPrajus,"@Sepur206 @prastow @PartaiSocmed Iya ini kesimpulan bisa dipake buat yg kemenkeu jelasin tapi kalau buat yg partai sosmed jelasin dan dari laporan tempo justru ada permasalahan pemalsuan dokumen dan ini dilakukan bukan cuman oleh PT Q Tapi PT lain, PT Q apes aja karna diketahui lakukan penyelundupan (poin 3, 4)",Negatif
MonYayasan,"@CNNIndonesia Ya Tuhan..ada isu besar masalah keuangan di kemenkeu dan bpk ini pusing dua minggu gegara bola? 
Ya Tuhan..tunjukkan lah semuanya.",Negatif
Risqimuslim,"@ulil Bilang aja, kalian ketar ketir borok kemenkeu kebongkar.",Negatif
doweknow67,@Heraloebss Mestinya orang2 dilembaga yudikatif ini wajib dkasih tukin 100% kek kemenkeu,Positif
dedefirman2014,"@madHink @sandi_wahyudi @PNS_Ababil @PNS_Garis_Lucu @pejabrut @BetaEpsilonPhi @pnsdaerahjelata Makanya perlu dishare dokumen T/L nya ke publik, kan hanya ratusan pegawai, bukan seluruh pegawai kemenkeu. Khususnya yg Rp47 T dan melibatkan 23 pegawai saja. Gampang ngejarnya",Negatif
Suriken8898,"@Jogja_Menyapa Uang 3 Trilyun Piala Dunia mah enteng, yg transaksi kemenkeu aja ratusan Trilyun. Kaga masuk akal ga punya duit.",Negatif
