userName,score,content,at
Abdul Zaet,1,Makin ke sinih main parah amat ya embengking BCA . jika teransaksi virtual ecoun atau top'up ke dana di emb BCA baca sukses di aplikasi dana nyah blm masuk saldo nyah udah bukan sekali 2 kali si sayah ngalamin x saldonya balik lagih inih mah kaga 😂😂😂😂 dih dimulai dari 50 K 100 k 200 k 1 jt. Haduh jadi mlm klo kaya begini,2023-03-24 11:22:13
Bella Ktb,4,"Maaf kak mau tanya, aku kan buat rekening BCA online saat bulan februari kemarin, tapi ATM dan buku rekening nya belum aku ambil sampe sekarang, kira kira masih bisa aku ambil sekarang tidak kak?",2023-03-24 11:17:52
De3na DJ,1,"Orang pake m bca biar ga ribet , eeh ni malah diribetin ferifikasi wajah yg sulit .. Entahlah harus gmna lagi , segala cara udah dicoba gagal teruss .. Kesel gak sih ,,, mau login ke m banking sendiri aja dipersulit...",2023-03-24 11:15:19
Pri Yanto,3,Sayangnya untuk topup flazz tidak semua kartu flazz bisa,2023-03-24 11:09:38
Sarah Fitria,5,memudahkan,2023-03-24 10:56:22
Amirah Candrawati,5,"BCA mobile kok ndak bsa d download, tlong dbantu",2023-03-24 10:52:23
Oka Setiawan,1,Knp ya potongan bca saya sampe 35 ribu? Pajak apa 35 ribu Saya kecewa pake bca dan amat sangat kecewa! Potongan bca saya trlalu besar... Dulu pernah di tf di pemberitahuan udh masuk di bca blm ada 1 minggu baru ada..,2023-03-24 10:32:26
rahmat hudaya,1,"susah ferivikasi wajah,dan juga malah jadi susah mau frevikasi juga di persusah",2023-03-24 10:15:38
Nurul Hakiki,1,jelekkkk. verfikasi proses terussss udah yang ke 10 kalinya tetep gabisa masuk. benerin lah gimana kek iniiii,2023-03-24 09:56:30
Fidelis Johan,4,Mudah dan lancar,2023-03-24 09:46:49
Shul Adjhi,1,"baru mau buka aplikasi kok malah Bug, lah gimana bisa.? mohon di lakukan perbaikan",2023-03-24 08:31:29
Andik Gendon,1,"Anehh sms udah habis 15ribu, kok Proses trs gak masuk², saya kecewa",2023-03-24 07:58:43
Elsa Vindi vedora,5,Bagus,2023-03-24 07:06:13
Nicko Anggara,5,Okreee,2023-03-24 05:56:50
Muhamad Azhar,5,"Tolong kembangin untuk keamanan login maupun verifikasi ulang, di menu masuk atau login jangan pakai kode harusnya dganti sidik jari atau pakai face (wajah) atau verifikasi dia langkah gitu biar lebih aman, selebihnya ok",2023-03-24 05:03:10
andry Wahyu,2,"Kenapa saldo saya sering terpotong dari 40 ribu besoknya saya cek lagi kok jadi 15 ribu kenapa ?padahal potongan perbulan saldo tahapan expresi cuma 7.500, ini baru 2 hari sudah terpotong banyak tadi cek saldo cuma 15 ribu dari 40 ribu.tolong perbaiki saya tidak mau rugi",2023-03-24 04:55:14
Aceng Sopyan,4,Baik,2023-03-24 04:34:35
AL fikholis66,3,Kenapa ini m banking saya tidak bisa yah?,2023-03-24 04:17:05
dudung suwiryo,1,Sangat menjengkelkan Verifikasi wajah gagal terus Padahal verifikasi wajah aplikasi sperti sopi toped dana gojek bukalapak ovo sukses Tp bca ini yg gagal terus Kalau IT belum siap jangan dipaksakan penggunaan verifikasi wajah Menjengkelkan banget,2023-03-24 02:55:31
sanudin saputra,4,Kenapa bca mobil sekarang susah masuk padahal sudah berkali-kali previkasia lewat sms,2023-03-24 02:38:02
Yuda Biantara,3,Verifikasi wajah tidak bisa Sudah di depan kamera masih tidak bisa Payah,2023-03-24 02:13:17
BC Barayclone,1,tolong informasinya dong.kenpa pembayaran dari adsense sekarang sering tertunda .padahal dr sananya ud di kirim.tp giliran di cek ke reg belom masuk masuk.tolong kasih penjelasannya min.,2023-03-24 01:32:20
Cak harry official,2,Kok saya lihat banyak yang mengeluh ya,2023-03-24 01:21:37
Ridho Gumpela,1,Ribet sekarang vertifikasi ktp lah wajah lah kayak mau pinjol aja. Di permudah kenapa sih. Bagus2 kayak dulu ini malah di peribet.,2023-03-24 00:12:26
Mahdun Zaelani,3,"Udah 2 hari ga muncul saldo ,, saldo 0 terus walpun baru masukin uang nya tetep ga muncul",2023-03-23 23:33:57
Zamzam Zamzam,5,Sugan hade,2023-03-23 23:03:19
adinda azani,1,"Verifikasi wajah susah bget... Padahal saya butuh bnget m-bangking ini Dlu gk sprti ini skrg knp sulit sprti ini Saya fikir saja yg scan fto gagal trus trnyta bnyk jg,,dn smuanya sebagian besar keluhannya sama dg saya ... "" SCAN FOTO"" Yg gagal trus...WHY????",2023-03-23 23:01:26
maruli mansyah,1,Ini knapa ya gak bisa2 download aplikasi BCA mobile nya?,2023-03-23 22:47:53
Tegar mumpuni Mumpuni,1,Sangat membantu dN memudah kan usaha kami trmksh BCA mobiel,2023-03-23 22:34:01
Helmy Mi,5,"Perbaikan yang sangat cepat ,Terbaik, terimakasih telah normal kembali,sukses selalu",2023-03-23 21:58:49
Mohamad Saepudin,1,Kok malah jadi jelek ada kendala terus pas awal awal masuk,2023-03-23 21:26:07
Fran Damas,1,"Mau bikin rekening secara online tapi pas udh verifikasi nomor HP malah gk bisa2, mana pulsa 10rb habis cuma buat verifikasi",2023-03-23 21:19:35
Dika Ameliya,2,Tambah di update tambah g jelas sering suruh verifikasi terusss plisss lah perbaikin lagii,2023-03-23 20:08:46
ayip novianto,5,Memudahkan transaksi,2023-03-23 19:56:46
Haji R,1,"Verifikasinya terlalu sulit, aplikasi belum beres jangan diterapkan",2023-03-23 19:56:26
alfin hairurrohim,1,"Payah, proses verifikasi lama",2023-03-23 19:28:39
Maju Nadapdap,1,Tutup aja apk kalian ini woooiii pihak bca. Bukan nya di update tambah lancar malah tambah lemot lagi. Masa tiap hari harus verifikasi ulang? Gk masuk akal lh. Dah lh tak buang aja ini ATM. Malah bikin orang emosian. Sialan kalian semua. Hanya ingin untung aja di mata kalian. Vuiiihhhh,2023-03-23 19:00:15
Abu khalid Ibrahim,1,"Bca sangat di sayangkan jadi buruk aplikasinya setelah ada fitur indikator jaringan.bahkan buka bca saja hampir bank yg ada fitur ini sama buruknya,semoga bca segera menangani masalah ini,agar kami bisa menikmati kenyamanan lg.",2023-03-23 18:46:37
Zodiazz,1,Sudah menuruti intruksi tapi tetap gagal login Sudah sesuai ktp dan poto tapi tetap gagal Habis update jadi gak enak aplikasinya,2023-03-23 17:58:09
3gp Story,5,"Bos, HP lama saya rusak, jadi tidak bisa login di hp baru. Saya lupa mencatat nomor kartu ATM saya bos. Karna saya mendaftar REKENING online bos. ada solusi nggak bos, biar bisa login pakai nomor REKENING, atau cara mengetahui nomor ATM saya. Jangan bilang kekantor terdekat, orang pedalaman ini Bosku.",2023-03-23 17:49:27
Jemima Chofsoh,1,"Susah banget buat verifikasi mbanking, pdahal udh coba verifikasi 10x. Yang ngeselin tu kudu foto ktp, ngisi alamat lengkap, trs foto mukak setiap verifikasi gagal. Ga cuma sekali, waktu bantu verifikasi punya ayahku juga gini. Sampai harus ke kantor cabang buat verifikasi. Masalahnya, ini mbanking, fungsi M (mobile) itu apa kalo masih kudu repot-repot ke kantor cabang dan pake cara lama. Pantes sih BCA tu dipersepsikan sbg banknya org tua. Tolong lah yang kayak gini2 itu diberbaiki.",2023-03-23 17:47:52
Mohammad Ishak Grabcar,5,Mantap,2023-03-23 17:26:18
Wahyu sukmiati,1,Saya kasih bintang 1 knp saya gak bisa mempergunakan nya pulsa gw sampai habis GOBLOOOOOOKKKKKKKKK NJING,2023-03-23 16:58:06
Sindy Sindy,1,"Saya transfer via QRIS, bukti pembayaran QRIS saya tidak ada masuk di inbox. Tetapi saldo saya telah berkurang, saya coba cek mutasi rekening juga ada bukti transaksi QRIS saya Kenapa bukti pembayaran QRIS nya tidak ada di inbox?",2023-03-23 16:47:54
Roy Nasution Official,5,Mantap,2023-03-23 16:45:45
Suyit Afandy,5,Good..baguuuuss,2023-03-23 16:44:09
Wandhy Djafar,1,Katanya data tidak sesuai melakukan menu about maksudnya apa?,2023-03-23 16:39:55
Iwan Ridwan,5,Oke aja lah,2023-03-23 15:55:19
Ukel Jablas,3,Kenapa sekarang jadi ga bisa dipake ya,2023-03-23 15:37:13
Saiful Anwar,1,makin parah yang terbaru bisanya buat cek saldo doang kaya cek pulsa transaksi lain ga bisa malah di suruh dateng mulu ke cabang terkedat udh tau ngantri ga jlllsss tolong berbaiki lg trimakasih,2023-03-23 15:14:38
Marboras Sada,2,Jelek,2023-03-23 15:07:51
vania septiviani,2,Mohon diperbaiki untuk layanan virtual account karena sejak pagi saya tidak bisa melakukan transaksi dengan virtual account,2023-03-23 14:59:00
Ricke Senduk,4,"Ganti hp, tapi tidak bisa verikasi.. berulangkali dicoba, ga bisa mulu",2023-03-23 14:28:50
Zul kharnain,1,"Verifikasi wajah sampe puluhan kali gak bisa, mbangking kocak !!!",2023-03-23 13:40:12
Bandar ID,1,Kenapa pada saat saya mau bikin m bankin bca status pesan diterima doang ya?,2023-03-23 13:29:15
Hamada Rido,1,"Verifikasi wajah malah mempersulit. Berulang kali gagal bikin emosi, padahal lagi butuh untuk transaksi",2023-03-23 13:22:34
Herdiperni,1,Sangat buruk susah untuk foto selfi ini apl beda sama apl tetangga mudah,2023-03-23 12:48:09
JUNO RFM,3,"Tampilan Applikasi nya di rubah total dong, bosen tampilan nya gini gini aja. Fitur nya jg di tambah.",2023-03-23 12:32:16
Adi Agustian,1,"Sementara transaksi tidak dapat d proses, nunggu sampe 3 hari masih aja kek gtu",2023-03-23 12:24:22
Dwi Elita,4,Saya verifikasi ulang kok g bisa ya?,2023-03-23 12:17:41
Wiwin Winengsih,1,"Tolong dong cs bca, saya mau transaksi di mbca tapi gak bisa masuk karna verifikasi foto gagal padahal saya sudah berada di ruangan terbuka dan foto sudah terang",2023-03-23 12:11:10
Exe gaming,1,Tidak bisa verifikasi selalu gagal dan jaringan makin lemot,2023-03-23 12:10:47
Ahmad Bahruni,4,baik,2023-03-23 11:46:53
BINTANG GAMING TOPIK CERIA,5,👍,2023-03-23 11:45:33
Reff Tzy,1,admin pas vc parah kita belum selesai udah dimatikan vcnya mau daftar online bukanya enak malah tambah ribett,2023-03-23 11:35:01
Manand,1,Updatenya gak jelas. Harus verifikasi wajah tapi gk bisa bisa,2023-03-23 11:04:07
Akhmad Afrian,1,"VERIFIKASI AE TEROSS PUASA GWE DH ABIS 20K NIH HADEHHH... UPDATE MALAH KYK GINI, GWE BACA ULASAN YG B1 SAMA AJA KELUHANNYA, TOLONG DONG KASIH SARAN, YAILAH PALINGAN YANG JAWAB ULASANNYA BOT SARANNYA ITU TERUS ITU TERUS BOSEN, YANG BENER DONG BIKIN APK, MENTANG"" BANYAK YANG PAKE DAN KEK YAUDAH APK"" GW GT, SETIDAKNYA KENYAMANAN USER DIPRIORITASKAN, LOGIN AE KOK DIPERSULIT..",2023-03-23 11:00:12
Yazid Muhammad,1,"Knp ini aplikasi makin parah, verifikasi foto doang gagal mulu, udah berkali kali dicoba tetep aja gagal, harus gimana sih? Dulu enak masuk mah tinggal masuk, sekrang malah sulit begini, trs gmn caranya mau pake m-banking kalo verif aja dipersulit? Tolonglah.",2023-03-23 10:56:42
DONI Pangeran,5,OK,2023-03-23 10:52:35
Swara Nada,2,Susah masuk.payah,2023-03-23 10:40:37
sofyan sulistio,5,sangat baik,2023-03-23 10:38:13
Sumanto Sumanto,5,Mantap,2023-03-23 10:14:31
M Syarifudin,5,Bagus,2023-03-23 10:05:41
Sri Noviyanti,3,Mbanking bca nya lagi kenapa ? Ga bsa dibuka padahal lagi urgent,2023-03-23 09:15:13
Moh Faridz,2,Tidk puas,2023-03-23 07:51:27
SAMUDERA PELANGI,1,"Selamat pagi admin. Waktu TgL 12 Maret 2023. 2 minggu yg lalu itu saya belanja tas di UNIQLO LIPPO MALL PURI JAK-BAR. Kronologi nya saya sudah bayar Menggunakan Mbanking Via QRIS, namun Pembayar tersebut belum masuk di aplikasi merchant. Namun di mbanking saya sudah terdebit 200K saya cek di mutasi mbanking saya... Sebelum nya saya sudah beberapa kali menghubungi pihak Hallo BCA. Proses kerja untuk Refund dana saya Tertanggal 12.Maret Sd/ 12 April 2023. Kenapa saya harus menunggu 1bulan lamanya",2023-03-23 07:05:42
Grizelle AG,1,"ini gimana ya sudah dapat notif sms tpi kok masih loading aja, endingnya ada tulisan jaringan error suruh coba lagi, udah coba banyak kali tetep aja sama!!!",2023-03-23 06:32:18
Latiss Koi,5,Mantap BCA,2023-03-23 02:49:23
Yogi Pratama,1,"Aneh Sekarang2 inih trouble nya gabisa masuk mbaking, padahal sim card yg terkaitnya terpasang di hp",2023-03-23 02:40:55
Ketut Simprug,5,Ok,2023-03-23 01:54:44
Ega Setiawan,5,Bagis,2023-03-23 00:34:38
Endra jagabaya,4,"Jika hadirmu sekadar ada, tapi tak memberikan rasa, sepertinya kopi ini lebih baik darimu. Walaupun pahit, hangatnya lebih terasa di malam yang dingin ini.""",2023-03-22 23:25:17
Dr Hasis,5,Oke,2023-03-22 23:14:17
Dexz30 Nts,5,Keren,2023-03-22 21:43:59
yersen84 csent,5,sangat membantu,2023-03-22 21:43:17
Wawan Siswanto,5,Susah verifikasi...,2023-03-22 21:23:40
Bocil Millenial,3,"Proses verifikasi sms nya lama sekali ya? Tolong dong min, di sempurna kan lagi..",2023-03-22 21:08:09
Ono Setiono,5,Ok bngt,2023-03-22 20:51:43
Lutfi Amin,1,"Trouble terus susah amat kode verifikasi nya padahal udah di coba saran dari orang BCA nya tapi tetap aja kagak bisa. Selalu ujung nya ""jaringan internet anda terputus""padahal jaringan bagus",2023-03-22 20:42:33
RUDI Anto,5,bagus,2023-03-22 20:37:02
Ita Mulyani,1,Di update malah Gk bisa verifikasi,2023-03-22 20:24:40
Rizal Rizal,2,Lampu indikator warna merah terus kapan hijaunya mhon di perbaiki lgi tu,2023-03-22 20:18:00
Olisss 11,1,GABISAAAAA VERIFIKASI ANJIR GA JELAS BANGET DAH,2023-03-22 20:17:04
Renal Andi,5,Mantap,2023-03-22 20:07:40
Giena Ydjs,1,"Tolong donk ya saya mau ganti ke hp baru pake acara foto2 segala , sudah sy coba gagal terus , gimana ini bca , mana sy cm bs m banking , klo ga bs digunain gmana cara nya sy bs transaksi",2023-03-22 20:06:20
Feri Nofiardi,1,"Makin update makin Ribet, verifikasi sulit.. Pulsa 10k abis buat Verifikasi tapi gagal terussss",2023-03-22 19:36:35
jhoni garaz,1,Belum bisa login Mbanking karena hape direstart. Kalau sudah bisa login bintangnya full,2023-03-22 19:26:27
Dede Novian,1,Sangat buruk. Mau beli pulsa lewat mbangking selalu tidak bisa.,2023-03-22 19:14:24
Indra Pratama,1,Saya coba daftar tidak bisa .sllu kembali ke menu semual pulsa habis sampai 20k tetap tidak bisa .apk gak jelas,2023-03-22 19:09:28
John hanssen Hienaldy,1,"tolong verifikasi wajah kenapa gabisa bisa sih, susah bngt",2023-03-22 18:58:38
ifuk M,1,Cs di Kantor cabang aja gak bisa benerin m bangking apalgi saya.,2023-03-22 18:51:19
Nanda Marwansyah,5,Mohon ditingkatkan lagi,2023-03-22 18:34:05
Hafiz Reno,1,tolong dong BCA Sebagai Bank Terbesar di ASIA tolong dong lebih baik lagi aplikasi nya verifikasi wajah mulu udh gagal trs yah gw mah ampun sama aplikasi skrng makin ancur,2023-03-22 18:22:11
AHMAD DHONY,5,👍,2023-03-22 18:19:10
SAKTI GASPOL,1,Hati hati dengan BCA sekarang kalo mau transfer banyak oknum virtual akun transaksi tertulis berhasil tapi tidak masuk ke saldo memang maling Alus bca,2023-03-22 17:32:53
Ruslan Aong,5,Iya,2023-03-22 17:31:48
Afritasari 01,5,Baik,2023-03-22 17:19:45
Rizky Dimas,5,Aplikasi sangat baguss,2023-03-22 17:16:33
Ianz Disconnected,5,"Terima kasih masalah saya sudah diselesaikan dengan sangat baik oleh cs bca 👍👍👍 Saya sangat sulit aktifasi ulang mbanking karena diharuskan verifikasi muka, sedangkan mata saya ada cacat jadi tidak terdeteksi aplikasinya, tolong dibantu gimana caranya agar saya bisa login mbanking kembali",2023-03-22 17:08:50
Arif Zuhri,1,"Verifikasi susah bgt, padahal sebelumnya enak2 aja. Tolong segera diperbaiki!!",2023-03-22 17:06:18
Myra Bella,5,Sangat membantu,2023-03-22 17:01:20
Don Meong,4,Aplikasi nya bagus... cuman ya gw komplen nya kalo maentenance jangan sore lah... ganggu banget kalo lg urgen... tengah malem ato subuh gt Bintang 4 aja dah... kzl gw,2023-03-22 16:46:21
Gallery Devina,2,"Aktifin m banking kok gk bisa bisa ya ,pulsa sudah ketarik bolak balik",2023-03-22 16:41:52
Sawontene,5,mantap,2023-03-22 16:26:08
Sugenx Pamungkas,3,Hbz updet suruh scan foto gak bs msk2 makin ribet aj.....,2023-03-22 16:24:37
Tribambang Susanto,5,Tadi pagi sempat error & nggak bisa ngakses tapi sore ini dicoba lagi...alhamdulillah sudah bisa ngakses lagi.. terimakasih banyak,2023-03-22 16:14:07
Aep Abdurrahman,1,Ini kenapa ngga bisa transfer pake M-BANKING yah,2023-03-22 16:00:40
Adhecatur Catur,5,Semakin bagus,2023-03-22 15:54:42
Olv Raph,2,Sms verifikasi salah format terus,2023-03-22 15:47:16
Khansa Carolin,2,Kenpa setelah saya perbaruhil Apk Nya tidak bisa di buka lagi... setelah saya masukan 16 digit angka tapi ngak bisa² dari jam 8 pagi sampai sekarang Pulsa saya habis oleh kirim sms. Sangat mengecewakan sekali,2023-03-22 15:43:26
Muhammad Faqod,5,Yezz,2023-03-22 15:41:54
Rahmat Bharnet,4,Mbanking saya kok gak bisa di bukaya,2023-03-22 15:38:33
FATHUR El,2,"Kok tambah kesini sering pending ya transaksi kirim dana ke aplikasi dan bank lain ? Mohon diperbaiki, ini zaman global harusnya canggih bukan malah tambah sering trouble min..",2023-03-22 15:30:30
Raja isa,5,Ok bagus lagi,2023-03-22 15:28:13
vnd 25,4,Apakah hari ini ada gangguan di bca nya min?soal nya dana nya belum ada masuk² ke rekening padahal proses tf nya sudah sukses,2023-03-22 15:21:43
agus Gz,5,Terimakasih kasih BCA,2023-03-22 15:20:47
Yudi Wijaya,1,"Ini gmn yaa,kok transaksi dr pagi cuma tulisan nya aja yg berhasil.tp yg menerima nya gak masuk saldonya..",2023-03-22 15:16:20
SAYYID WAHYU MUHAMMAD,3,Kok ketika saya top up rekening bca saya selalu terpotong 50k ? Tolong penjelasannya!,2023-03-22 15:11:03
Fahmi Irvanto,1,"Semenjak ada verifikasi muka,jadi makin susah.. belum tentu semua pengguna kamera depannya bekerja dengan baik..",2023-03-22 14:54:30
Zaini Zaini,5,Ok,2023-03-22 14:25:14
Fauzan buhari,1,"jaringan stabil tapi mbanking selalu merah dari pagi sampe sore, tolong di tingkatkan lagi pelayanannya",2023-03-22 14:24:04
Fredi Aditya,5,"Semoga tidak kendala lgi,,dari pgi td gk bisa2,,,untuk cepat respon akhirnya bisa pakai",2023-03-22 14:23:53
Helda Wati,5,Mantap.,2023-03-22 14:15:41
Bambang R Sitompul,1,jadi butut,2023-03-22 13:54:42
Muhamad Arif repli,1,Mohon dong ini gimna ga bisa pake transaksi,2023-03-22 13:54:25
Shanty Soekma,5,semoga lebih baik jangan error terus jaringannnyah..,2023-03-22 13:54:13
Irwansa Conti,5,Assalamualaikum mohon maaf kak untuk list Bank yang ada di aplikasi pembaca layar handphone atau aplikasi aksesibilitas ketika mau transfer ke bank. tidak terbaca kalau versi yang lama bisa mudah-mudahan bisa diperbaiki sekian keluhan saya terima kasih.,2023-03-22 13:52:47
Eka yoon,5,Bisa bantu kenapa warna notifikasi tidak bisa hijau ya selalu aja merah😭,2023-03-22 13:51:03
ibtisam tamma,4,Gimana sih mbca berkali² di update malah gak bisa diinstal terus. Tolong dong kenyamanannya karna saya dari kepulauan disini sinyal susah gak ada kantor bca juga disini. Capek tau dari tadi bolak balik update tapi tetep gak bisa instal. Tolong dong ini lagi butuh banget mau transfer uanggggggg!!!!!!!!!!,2023-03-22 13:50:49
Bayu Yulindra,1,"Tolol,verifikasi muka susah amat",2023-03-22 13:47:56
juys bassoka,1,makin parah lampu indikatornya merah terus.padahal jaringan bagus heran sama aplikasi ini makin lama bukan makin bagus.malah tambah parah,2023-03-22 13:44:06
Amir14 Qwerty,5,"maaf apa hari ini bca mobile sedang offline,,aplikasi saya sejak jam 6 pagi sampai sekarang statusnya ofline,, tolong infonya",2023-03-22 13:41:57
Mohamad Taofik,5,Bagaimana cara mengadukan kendala transfer. Saya topup ke dana. Di berita pengiriman sudah terkirim. Tapi di dana nya ga ada??,2023-03-22 13:41:41
Mm Sehan,1,Bos gmn ini verification m banking kok malah susah sekarang...cuma hbsin pulsa ajj..,2023-03-22 13:40:22
Firman ardiansyah firman arsya,1,Sering elor,2023-03-22 13:35:57
Kamal Rpl,1,Sering eror,2023-03-22 13:35:44
Arif Endrawan,1,Sinyal merah terusssssssss,2023-03-22 13:28:13
Bilqis Opp,5,Kenapa lampu indikator mbca sya merah terus gk nmbisa digunakan,2023-03-22 13:27:39
Adi Hasri,2,tgl 22 maret 2023 hari Rabu knp apk BCA mobile tak bsa digunakan untuk transaksi ? lampu indikator warna merah tak pernah berubah ke hijau padhal koneksi jaringan ponsel sy full terus kok Area Sulawesi selatan kab Gowa tolong updatenya gmna??,2023-03-22 13:27:03
Agung Tri,1,"lampu indikator di aplikasi ini inovasi yang bodoh..sinyal aman buat game, streaming,sosmed lancar kok lampu indikator merah terus..apa aplikasinya ikut libur nyepi?",2023-03-22 13:24:06
Yadi Sebako,5,Blm normal...blm BS transaksi ka,2023-03-22 13:22:39
setya gempi,2,Kenapa ya Lampu indikator tidak bisa berubah hijau,2023-03-22 13:21:08
Adi Vic93,3,Kenapa ini kok sinyal merah terus pakek WiFi juga merah,2023-03-22 13:16:12
Riki Iskandar,1,makin ke sini makin ga pake otak ya malah ga bisa di pake transaksi,2023-03-22 13:15:57
Safitri Handayani,1,"Ini gimana si min saya mau verifikasi dr semalem gabisa ,, pulsa ada jaringan lancar tp proses terus udh sampe 3x saya beli pulsaa",2023-03-22 13:10:33
Juli Agus Supriyanto,5,Kok lama loading nya,2023-03-22 13:09:41
Raya Gumyadi,1,"status merah mulu woiii gua ga bisa transaksi dari kemarin. normal normal normal apaan, normall preeet",2023-03-22 13:07:57
Syukri Daengyuki,1,Jelek tidak bisa login setelah di upgred,2023-03-22 13:07:49
ALOYSIUS LAMEN,5,selama ini pakai m bangkiking rasa nyaman . 2 hr blakangan ini yg agak eror tolong ditangani ya shg kita jg bs transaksi. makasih. baik apax m bangking eror kok ulasanx sdh.diperbaiki,2023-03-22 13:06:38
Ahmad zaelani,1,"Error terus, website juga sama aja, tidak ada pemberitahuan dsb.",2023-03-22 13:06:24
Rohmad Purwono,3,Kenapa ya pada hari ini 22 maret 2023 transaksi melalui mobile banking tidak bisa dilakukan apakah karena libur nasional admin pada libur juga. Akun saya lampu indikatornya merah.,2023-03-22 13:04:03
Dika Fre,1,Kepana di BCA mobile slalu merah indikator sinyalnya padhal sinyal bagus,2023-03-22 13:02:04
Cat'tha Cat,1,Woy BCA !!! TOLONG DONG DARI KEMARIN EROR TERUS M-BANGKING !!! DIPERBAIKI ORANG2 BANYAKKKK YG BUTUH TRANSAKSI!!! KLW BEGINI TERUS LEBIH BAIK SAYA PAKAI BANK MANDIRI ! LEBIH SIMPLLE DAN G PERNAH EROR,2023-03-22 13:01:20
ahkmad marzuky,3,kenapah lampu indiktor selalu berwarna merah,2023-03-22 13:00:19
PRIBUMI KARAWANG,2,Gimana nih BCA kok jadi Sering banget trabel... BCA mobile payah,2023-03-22 12:59:27
Eks Real,5,"Ko m bangkin sya dari semalem lampu nya merah terus yah,ga bisa transaksi apa apa",2023-03-22 12:56:50
Eya Cemara,1,"Seharian ini indikator BCA mobile merah terus.padahal kuota full lancar jaya untuk semuanya.sudah saya coba berbagai cara supaya indikator hijau kembali dari mulai restart hp,matiin data,off on hp,update apk BCA ini, sampai uninstall dulu.pas install ulang gak bisa verivikasi pulsa udah banyak ke pake 😖 heran saya ada apa ini padahal butuh m banking untuk mempermudah transaksi",2023-03-22 12:54:22
Mahendra Mahendra,1,"Ini apk kenapa kok aneh gini..padahal lg ada kebutuhan mendadak kok jd merah terus padahal wifi baik2 saja, setelah uninstal instal lg kok malah gk bisa masuk alasan jaringan...tolonglah jangan ngecewain pengguna, apalagi disaat2 mau masuk puasa ini...haduuuhh bikin orang pusing aja ini lama2",2023-03-22 12:52:24
Deddy Kz132,5,Mantap 1000X,2023-03-22 12:52:09
Fahmi Ramadhan,1,rusak ni app. lagi butuh bgt malah error terus2an,2023-03-22 12:49:41
ordy inaray,1,"👎👎👎👎👎👎👎👎👎👎👎 Aplikasi sdh sering eror, tidak berguna Dari kemarin lampu merah terus sampai sekarang Sdh normal di langit👎👎👎",2023-03-22 12:49:38
Moch Farhan Nurasyid,1,"Apa ini sering terjadi kendala, Nggak bisa buat Transaksi",2023-03-22 12:47:28
SMILE 69 CELL,1,Susah login setelah di update..malah Rungkat Siti..,2023-03-22 12:47:07
Agus Mulyono,2,Trobel malah msuk lg plsa sampe hbs g bsa masuk,2023-03-22 12:45:52
Yuni Arto,1,Di update indikatornya merah mulu,2023-03-22 12:45:34
Bintang Bulan,1,Habis update malah signal merah terus...haduh.. bagaimana ini..saya pikir setelah updte malah bagus..kok ini malah busuk sih..kl sudah ok saya naikin lagi bintang nya,2023-03-22 12:45:25
Faisal Mujib,1,"BCA mobile login warna indikatornya merah mulu, trus login my BCA gabisa bisa, error terus .",2023-03-22 12:45:09
yutub chanell,1,"Kenapa dari kemaren indikator punya saya merah terus,, gak biru,gak hijau, pdahal udah pake wifi,udah pake data, anehh tolong perbaiki dong",2023-03-22 12:44:18
mas jhons Edi,5,Mohon maaf kok lampu indikator merah terus pdhal sinyal bagus pke wifipun jaringan bagus.,2023-03-22 12:37:18
Putri Dwi Mahardika,5,Beberapa hari terakhir ini lampu indikator bewarna merah terus. Transaksi cukup terkendala,2023-03-22 12:36:59
Pisang Sale,5,Ok,2023-03-22 12:35:17
debian lasmana,1,"SAMPAH....TOLOL,VERIF SMS GAGAL TEROS KONTOOOLL",2023-03-22 12:32:52
Muchammad Ilham Rahmatillah,1,Udah 2 hari merah terus padahal sinyal normal.. mohon perbaiki secepatnya,2023-03-22 12:30:49
Ipul Rompies,4,"Lg eror kah mbanking,?",2023-03-22 12:28:26
Mas Yan Yanto Yanto,5,Login bisa sekarang jadi susah warna nya merah terus kenapa sh...jadi ribet gini,2023-03-22 12:26:37
In Die Channel,1,Merah aja terus,2023-03-22 12:26:23
Limit Moscov,1,Emang jelek BCA vertifikasi habis pulsa 20 ribu tapi masih proses jaringan bagus emang BCA nya jelek jaringan udah bagus lu nya yang jelek,2023-03-22 12:26:14
Raihan Fahreza,5,"permisi bapak/ibu ijin saya mau bertanya, kenapa bca mobile saya warnanya merah terus belakang ini padahal jaringan atau lainnya sudah saya perbaikin, tolong tanggepannya 🙏🙏🙏🙏",2023-03-22 12:25:47
The ahmed,2,"Proses Verifikasi data di mobile bangking selalu gagal padahal semua data sudah benar, call hallo bca harus pengajuan 2 hari, padahal cuman mau ganti HP aja. Tolong diperbaiki system verifikasi datanya.",2023-03-22 12:25:43
Jarno Sandhika,5,Bagusss,2023-03-22 12:25:31
N N,1,Kalo bca udah merah Terus aja merah gak mau ganti lampu hijau atau biru berjam jam nunggu kagak brubah2 Padahal jaringan bagus Bca knp sih jd rese,2023-03-22 12:23:33
Keisya Pratama,3,Maaf saya kasih 3 bintang.. terlalu sering terjadi kendala.. contoh hari ini karena tgl merah hari raya Nyepi.. m banking tidak dapat d akses.. padahal baru 2 hari kemaren terjadi kendala di BCA.. tolong lebih profesional.,2023-03-22 12:23:16
Tian Kho,3,Trouble trus ini apk..tlong di perbaiki,2023-03-22 12:22:45
