username,content,sentiment,token,stem
owberil, beli di bank bs beli di bibit jg bs tp aq belinya d welma punya nya bca hrs liat jadwal sbn ny dl soalny bukaan sbn ada jadwalnya dan ada batas akhir pemesanan aq biasany tw info dr ig djppr kemenkeu ri kalo mw beli pas ada bukaan misal msh tkt dan cont_,Positif,"['beli', 'bank', 'beli', 'bibit', 'belinya', 'welma', 'nya', 'bca', 'lihat', 'jadwal', 'sbn', 'ny', 'dl', 'soalny', 'bukaan', 'sbn', 'jadwalnya', 'batas', 'pemesanan', 'biasany', 'informasi', 'dr', 'ig', 'djppr', 'kemenkeu', 'ri', 'now watching', 'beli', 'pas', 'bukaan', 'tkt', 'cont_']","['beli', 'bank', 'beli', 'bibit', 'beli', 'welma', 'nya', 'bca', 'lihat', 'jadwal', 'sbn', 'ny', 'dl', 'soalny', 'buka', 'sbn', 'jadwal', 'batas', 'mesan', 'biasany', 'informasi', 'dr', 'ig', 'djppr', 'kemenkeu', 'ri', 'now watching', 'beli', 'pas', 'buka', 'tkt', 'cont']"
sdnarm, tetap kena karena kemenkeu punya mekanisme pengawasan internal ,Negatif,"['kena', 'kemenkeu', 'mekanisme', 'pengawasan', 'internal']","['kena', 'kemenkeu', 'mekanisme', 'awas', 'internal']"
Acmilan18892020, emg engga ada punya pikiran orang kemenkeu ini udah transfer dana perimbangan ke daerah dipersulit rupanya pada makan uang pendapatan negara semua ,Negatif,"['emg', 'engga', 'pikiran', 'orang', 'kemenkeu', 'transfer', 'dana', 'perimbangan', 'daerah', 'dipersulit', 'makan', 'uang', 'pendapatan', 'negara']","['emg', 'engga', 'pikir', 'orang', 'kemenkeu', 'transfer', 'dana', 'imbang', 'daerah', 'sulit', 'makan', 'uang', 'dapat', 'negara']"
maffanh, wah sorry kak barusan liat di web kemenkeu ga ada yg lulusan stan atau mungkin saya kelewat,Positif,"['maaf', 'kak', 'barusan', 'lihat', 'web', 'kemenkeu', 'ga', 'lulusan', 'stan', 'kelewat']","['maaf', 'kak', 'barusan', 'lihat', 'web', 'kemenkeu', 'ga', 'lulus', 'stan', 'lewat']"
August_9, kalo kombes punya mercy sih wajar ya pak yg ngga boleh hidup mewah cuma kemenkeu aja kalo polri mah bebass,Negatif,"['kombes', 'mercy', 'sih', 'wajar', 'iya', 'hidup', 'mewah', 'kemenkeu', 'polri', 'mah', 'bebass']","['kombes', 'mercy', 'sih', 'wajar', 'iya', 'hidup', 'mewah', 'kemenkeu', 'polri', 'mah', 'bebass']"
suryatujuh0, pemikiran pejabat kemenkeu gini tolol wkwk,Negatif,"['pemikiran', 'pejabat', 'kemenkeu', 'gini', 'tolol', 'wkwk']","['pikir', 'jabat', 'kemenkeu', 'gin', 'tolol', 'wkwk']"
adhepur, mudahmudahan cuma rafael yang begitu pegawai kemenkeu yang lainnya semua baikbaik mudahmudahan,Positif,"['mudahmudahan', 'rafael', 'pegawai', 'kemenkeu', 'baikbaik', 'mudahmudahan']","['mudahmudahan', 'rafael', 'pegawai', 'kemenkeu', 'baikbaik', 'mudahmudahan']"
amirsyahoke, apa yg dibongkar tanpa koar² pun tim selalu bekerja berdasarkan data ppatk sudah banyak kasus yg diproses hukum atas sinergi ppatk kemenkeu amp aph masak mahfud sampe gak tahu kasus t sudah selesai diproses hukum malah nuduh ada yg menyembunyikan informasi kasus,Negatif,"['dibongkar', 'koar²', 'tim', 'berdasarkan', 'data', 'ppatk', 'diproses', 'hukum', 'sinergi', 'ppatk', 'kemenkeu', 'amp', 'aph', 'masak', 'mahfud', 'gak', 't', 'selesai', 'diproses', 'hukum', 'nuduh', 'menyembunyikan', 'informasi']","['bongkar', 'koar', 'tim', 'dasar', 'data', 'ppatk', 'proses', 'hukum', 'sinergi', 'ppatk', 'kemenkeu', 'amp', 'aph', 'masak', 'mahfud', 'gak', 't', 'selesai', 'proses', 'hukum', 'nuduh', 'sembunyi', 'informasi']"
laadosilasol, sekretaris jenderal kemenkeu lulusan d stan sahli bidang komunikasi strategis kemenkeu pak yustinus lulusan d dan d stan kepala bpkp juga lulusan stan,Positif,"['sekretaris', 'jenderal', 'kemenkeu', 'lulusan', 'stan', 'sahli', 'bidang', 'komunikasi', 'strategis', 'kemenkeu', 'yustinus', 'lulusan', 'stan', 'kepala', 'bpkp', 'lulusan', 'stan']","['sekretaris', 'jenderal', 'kemenkeu', 'lulus', 'stan', 'sahli', 'bidang', 'komunikasi', 'strategis', 'kemenkeu', 'yustinus', 'lulus', 'stan', 'kepala', 'bpkp', 'lulus', 'stan']"
SuratmanWirose1, kalau dpr ada niat utk bongkar kasus di kemenkeu segera bentuk pansus,Positif,"['dpr', 'niat', 'bongkar', 'kemenkeu', 'bentuk', 'panitia khusus']","['dpr', 'niat', 'bongkar', 'kemenkeu', 'bentuk', 'panitia khusus']"
hanyarakyatbias, oh dibales ya wkwk iya kak djp ga dapat tukin tahunan tpi namanya ipk ya sama juga yang tukin tahunan itu djbc dan dirjen kemenkeu lainnya saya tahu karna saya saya deket sm kemenkeu kak hmmm,Positif,"['oh', 'dibales', 'iya', 'wkwk', 'iya', 'kak', 'djp', 'ga', 'tukin', 'tahunan', 'namanya', 'ipk', 'iya', 'tukin', 'tahunan', 'djbc', 'dirjen', 'kemenkeu', 'deket', 'sm', 'kemenkeu', 'kak', 'hmmm']","['oh', 'dibales', 'iya', 'wkwk', 'iya', 'kak', 'djp', 'ga', 'tukin', 'tahun', 'nama', 'ipk', 'iya', 'tukin', 'tahun', 'djbc', 'dirjen', 'kemenkeu', 'deket', 'sm', 'kemenkeu', 'kak', 'hmmm']"
deus_xmchn, penjara seumur hidup lanjutkan bersih bersih kemenkeu,Negatif,"['penjara', 'seumur', 'hidup', 'lanjutkan', 'bersih', 'bersih', 'kemenkeu']","['penjara', 'umur', 'hidup', 'lanjut', 'bersih', 'bersih', 'kemenkeu']"
super_sabs, senggol itu mas dan influencer kemenkeu ini coi kok bisanya djp dpt webeka webebeem,Negatif,"['senggol', 'mas', 'influencer', 'kemenkeu', 'coi', 'bisanya', 'djp', 'webeka', 'webebeem']","['senggol', 'mas', 'influencer', 'kemenkeu', 'coi', 'bisa', 'djp', 'webeka', 'webebeem']"
SolitaireMawar, jd jualan radikal radikul utk menutupi perampokan besar an ol pjbt ngr di kemenkeu merampok br jamaah pantesin utang ugal an pjbt nya kekayaan nya meroket sdngkn rkyt nya kemiskinan nya yg meroket,Negatif,"['jualan', 'radikal', 'radikul', 'menutupi', 'perampokan', 'an', 'online', 'pjbt', 'ngr', 'kemenkeu', 'merampok', 'jamaah', 'pantesin', 'utang', 'ugal', 'an', 'pjbt', 'nya', 'kekayaan', 'nya', 'meroket', 'sdngkn', 'rkyt', 'nya', 'kemiskinan', 'nya', 'meroket']","['jual', 'radikal', 'radikul', 'tutup', 'ampo', 'an', 'online', 'pjbt', 'ngr', 'kemenkeu', 'rampok', 'jamaah', 'pantesin', 'utang', 'ugal', 'an', 'pjbt', 'nya', 'kaya', 'nya', 'roket', 'sdngkn', 'rkyt', 'nya', 'miskin', 'nya', 'roket']"
TheArieAir,nanti kalo sudah agak reda pengin ulas skandal tppu t di kemenkeu biar adil dulu saat erasby bank century t juga aku ributin,Negatif,"['reda', 'pengin', 'ulas', 'skandal', 'tppu', 't', 'kemenkeu', 'biar', 'adil', 'erasby', 'bank', 'century', 't', 'ributin']","['reda', 'pengin', 'ulas', 'skandal', 'tppu', 't', 'kemenkeu', 'biar', 'adil', 'erasby', 'bank', 'century', 't', 'ributin']"
ikopangestii, gw yakin masih banyak alun alun lainya di pajak dan kemenkeu,Negatif,"['alun', 'alun', 'lainya', 'pajak', 'kemenkeu']","['alun', 'alun', 'lai', 'pajak', 'kemenkeu']"
MgmPtmgm, sebagai apa hendropriono meminta dpr menghentikan polemik mega skandal kemenkeu tersebut dengan mahfud md ,Positif,"['hendropriono', 'dpr', 'menghentikan', 'polemik', 'mega', 'skandal', 'kemenkeu', 'mahfud', 'md']","['hendropriono', 'dpr', 'henti', 'polemik', 'mega', 'skandal', 'kemenkeu', 'mahfud', 'md']"
MakarunaNow, mario oooh marionih bocah abis dibenci keluargadi hujat seantero negeridilaknat pejabat kemenkeudimusuhi banserdikutuk si agnes dan keluarganyapokoknya lengkap sdhlah tuh bocah bikin geger satu negarakalah dah jokowi ,Negatif,"['mario', 'oooh', 'marionih', 'bocah', 'habis', 'dibenci', 'keluargadi', 'hujat', 'seantero', 'negeridilaknat', 'pejabat', 'kemenkeudimusuhi', 'banserdikutuk', 'si', 'agnes', 'keluarganyapokoknya', 'lengkap', 'sdhlah', 'tuh', 'bocah', 'bikin', 'geger', 'negarakalah', 'deh', 'jokowi']","['mario', 'oooh', 'marionih', 'bocah', 'habis', 'benci', 'keluargadi', 'hujat', 'antero', 'negeridilaknat', 'jabat', 'kemenkeudimusuhi', 'banserdikutuk', 'si', 'agnes', 'keluarganyapokoknya', 'lengkap', 'sdhlah', 'tuh', 'bocah', 'bikin', 'geger', 'negarakalah', 'deh', 'jokowi']"
BimoTjontong, kenapa kepala irjen kemenkeu yg tukinnya gede tdk bisa mendeteksi kebusukan ini,Positif,"['kepala', 'irjen', 'kemenkeu', 'tukinnya', 'gede', 'mendeteksi', 'kebusukan']","['kepala', 'irjen', 'kemenkeu', 'tukinnya', 'gede', 'deteksi', 'busuk']"
Slyingd, bukan hanya kpk ajah pak tapi seluruh rakyat indonesia yang banyak dibohongi oleh oknum penegak pajak berkat david pak mahfud juga punya langkah memanfaatkan momen membuka kedok kejahatan di seluruh tubuh instansi kemenkeu kebanyakan bikin acara seminar tapi gkada integritas,Negatif,"['kpk', 'ajah', 'rakyat', 'indonesia', 'dibohongi', 'oknum', 'penegak', 'pajak', 'berkat', 'david', 'mahfud', 'langkah', 'memanfaatkan', 'momen', 'membuka', 'kedok', 'kejahatan', 'tubuh', 'instansi', 'kemenkeu', 'kebanyakan', 'bikin', 'acara', 'seminar', 'gkada', 'integritas']","['kpk', 'ajah', 'rakyat', 'indonesia', 'bohong', 'oknum', 'tegak', 'pajak', 'berkat', 'david', 'mahfud', 'langkah', 'manfaat', 'momen', 'buka', 'kedok', 'jahat', 'tubuh', 'instansi', 'kemenkeu', 'banyak', 'bikin', 'acara', 'seminar', 'gkada', 'integritas']"
kubukubu78, yg ngeri tuh kemenkeu dikawinkan dgn org pajak hasilnya ttpu,Negatif,"['ngeri', 'tuh', 'kemenkeu', 'dikawinkan', 'orang', 'pajak', 'hasilnya', 'ttpu']","['ngeri', 'tuh', 'kemenkeu', 'kawin', 'orang', 'pajak', 'hasil', 'ttpu']"
Cyberknight24, tanpaengurangi simpati gw ke korban davis gw yakin bgt dalam hatinya dia nyesel bangetsecara umurnya masih sgt mudadl masih sempet so gagahga sadar apa yg terjadi akan berdampak sangat luasdarah muda memang sulit dikendalikanapalgi karena lemahnya iman dan salah asuhan,Positif,"['tanpaengurangi', 'simpati', 'korban', 'davis', 'banget', 'hatinya', 'nyesel', 'bangetsecara', 'umurnya', 'mudadl', 'so', 'gagahga', 'sadar', 'berdampak', 'luasdarah', 'muda', 'sulit', 'dikendalikanapalgi', 'lemahnya', 'iman', 'salah', 'asuhan']","['tanpaengurangi', 'simpati', 'korban', 'davis', 'banget', 'hati', 'nyesel', 'bangetsecara', 'umur', 'mudadl', 'so', 'gagahga', 'sadar', 'dampak', 'luasdarah', 'muda', 'sulit', 'dikendalikanapalgi', 'lemah', 'iman', 'salah', 'asuh']"
celuteh,heran deh sama pegawhy instansi nonkemenkeu yg minta penyetaraan tukin mereka gak sadar kemenkeu itu punya privillege kemenkeu yg menggali sumber mata air buat menghidupi lingkungan sekitar mulai dari presiden dpr sampe staf terendah minum dari sumber mata air galian mereka,Positif,"['heran', 'deh', 'pegawhy', 'instansi', 'nonkemenkeu', 'penyetaraan', 'tukin', 'gak', 'sadar', 'kemenkeu', 'privillege', 'kemenkeu', 'menggali', 'sumber', 'mata', 'air', 'menghidupi', 'lingkungan', 'presiden', 'dpr', 'staf', 'terendah', 'minum', 'sumber', 'mata', 'air', 'galian']","['heran', 'deh', 'pegawhy', 'instansi', 'nonkemenkeu', 'tara', 'tukin', 'gak', 'sadar', 'kemenkeu', 'privillege', 'kemenkeu', 'gali', 'sumber', 'mata', 'air', 'hidup', 'lingkung', 'presiden', 'dpr', 'staf', 'rendah', 'minum', 'sumber', 'mata', 'air', 'gali']"
dadiriadi1, cihuuui musuh bersama kemenkeu bisa dibui,Negatif,"['cihuuui', 'musuh', 'kemenkeu', 'dibui']","['cihuuui', 'musuh', 'kemenkeu', 'bui']"
oktrrx,ini semua salah kemenkeu ,Negatif,"['salah', 'kemenkeu']","['salah', 'kemenkeu']"
dadiriadi1, bubarkan personel itjen kemenkeu,Negatif,"['bubarkan', 'personel', 'itjen', 'kemenkeu']","['bubar', 'personel', 'itjen', 'kemenkeu']"
plusniagara1973, dan tuyul kemenkeu pun aman,Negatif,"['tuyul', 'kemenkeu', 'aman']","['tuyul', 'kemenkeu', 'aman']"
bachrum_achmadi,pejabat apalg presiden ga dpt thr jg ga ngaruh apalah arti thr buat pejabat yg perlu thr itu asn amp tenaga honorer mrk sngt membutuhkan u kperluan lebaran tega bener thr asn amp tenaga honorer dibyr smentara pejabat kemenkeu amp klrgnya hdp hedon miris ,Negatif,"['pejabat', 'apalg', 'presiden', 'ga', 'thr', 'ga', 'berpengaruh', 'apalah', 'arti', 'thr', 'pejabat', 'thr', 'asn', 'amp', 'tenaga', 'honorer', 'mrk', 'sngt', 'membutuhkan', 'kperluan', 'lebaran', 'tega', 'thr', 'asn', 'amp', 'tenaga', 'honorer', 'dibyr', 'smentara', 'pejabat', 'kemenkeu', 'amp', 'klrgnya', 'hdp', 'hedon', 'miris']","['jabat', 'apalg', 'presiden', 'ga', 'thr', 'ga', 'pengaruh', 'apa', 'arti', 'thr', 'jabat', 'thr', 'asn', 'amp', 'tenaga', 'honorer', 'mrk', 'sngt', 'butuh', 'kperluan', 'lebaran', 'tega', 'thr', 'asn', 'amp', 'tenaga', 'honorer', 'dibyr', 'smentara', 'jabat', 'kemenkeu', 'amp', 'klrgnya', 'hdp', 'hedon', 'miris']"
R_Marmoris, kalo mario bs nyesel itu bagus krn gw kira modelan gitu kaya ga ada rasa udah repotin ortu malah merasa korban penderitaannya adalah salah ortu yg salah didik pernah liat yg begitu soalnya,Positif,"['mario', 'nyesel', 'bagus', 'modelan', 'gitu', 'kaya', 'ga', 'repotin', 'orang tua', 'korban', 'penderitaannya', 'salah', 'orang tua', 'salah', 'didik', 'lihat']","['mario', 'nyesel', 'bagus', 'model', 'gitu', 'kaya', 'ga', 'repotin', 'orang tua', 'korban', 'derita', 'salah', 'orang tua', 'salah', 'didik', 'lihat']"
rilan_, terimakasih ke dede agnesz karena dia kebongkar deh pejabat kemenkeu,Negatif,"['terimakasih', 'dede', 'agnesz', 'kebongkar', 'deh', 'pejabat', 'kemenkeu']","['terimakasih', 'dede', 'agnesz', 'bongkar', 'deh', 'jabat', 'kemenkeu']"
areev_r, sesama tikus akan saling menutupi,Negatif,"['tikus', 'menutupi']","['tikus', 'tutup']"
SolikinSutanto, ada mantan pejabat tokoh yg nulis m bongkar skandal pencucian uang t di kemenkeu isinya ada korupsipencucian uang di kemenku sebesar t itu kan total trx mencurigakan dari ini saya yg goblok mau nanya sudah dibongkar apanya,Negatif,"['mantan', 'pejabat', 'tokoh', 'nulis', 'm', 'bongkar', 'skandal', 'pencucian', 'uang', 't', 'kemenkeu', 'isinya', 'korupsipencucian', 'uang', 'kemenku', 't', 'total', 'trx', 'mencurigakan', 'bodoh', 'dibongkar', 'apanya']","['mantan', 'jabat', 'tokoh', 'nulis', 'm', 'bongkar', 'skandal', 'cuci', 'uang', 't', 'kemenkeu', 'isi', 'korupsipencucian', 'uang', 'kemenku', 't', 'total', 'trx', 'curiga', 'bodoh', 'bongkar', 'apa']"
ileristi, klo kemenkeu blg gk ada uangnya emg bisa,Negatif,"['kemenkeu', 'bilang', 'gk', 'uangnya', 'emg']","['kemenkeu', 'bilang', 'gk', 'uang', 'emg']"
dimaspatongloan, sudahlah anda cuma jd tumbal gak mungkin lg diselamatkan mending bongkar sekalian semua di kemenkeu itu,Negatif,"['tumbal', 'gak', 'diselamatkan', 'lebih baik', 'bongkar', 'kemenkeu']","['tumbal', 'gak', 'selamat', 'lebih baik', 'bongkar', 'kemenkeu']"
aminoto7, siap geng konsultan pajak bu menteri knp dibiarkan pns kemenkeu bikin konsultan pajak harusnya tegas haram hukumnya,Negatif,"['geng', 'konsultan', 'pajak', 'bu', 'menteri', 'dibiarkan', 'pns', 'kemenkeu', 'bikin', 'konsultan', 'pajak', 'haram', 'hukumnya']","['geng', 'konsultan', 'pajak', 'bu', 'menteri', 'biar', 'pns', 'kemenkeu', 'bikin', 'konsultan', 'pajak', 'haram', 'hukum']"
jokodoloq, rakyat jangan tertipu tetap dorong pembersihan kemenkeu bongkar geng dan kroni kroninya,Negatif,"['rakyat', 'tertipu', 'dorong', 'pembersihan', 'kemenkeu', 'bongkar', 'geng', 'kroni', 'kroninya']","['rakyat', 'tipu', 'dorong', 'bersih', 'kemenkeu', 'bongkar', 'geng', 'kroni', 'kroni']"
KangAmore, anak kecil juga tau kalo dibilang kemenkeu bukan berarti seluruh jajaran kemenkeu tinggal kalian buktikan mana yg bersih dan mana yg tdk jgn bicara besar kecil mudharatnya emang kalau kecil terus dibiarin,Negatif,"['anak', 'dibilang', 'kemenkeu', 'jajaran', 'kemenkeu', 'tinggal', 'buktikan', 'bersih', 'bicara', 'mudharatnya', 'emang', 'dibiarin']","['anak', 'bilang', 'kemenkeu', 'jajar', 'kemenkeu', 'tinggal', 'bukti', 'bersih', 'bicara', 'mudharatnya', 'emang', 'dibiarin']"
djoniecash2, sambo pajak kemenkeu perempuan,Positif,"['sambo', 'pajak', 'kemenkeu', 'perempuan']","['sambo', 'pajak', 'kemenkeu', 'perempuan']"
KangAmore, heran ya masih ada org yg mempersoalkan soal perbedaan data data itu sumbernya satuyaitu ppatk menjadi beda krn kemenkeu memilah berdasarkan penafsirannya sendiri yg berkaitan dgn internal kemenkeu jadi ga ada yg beda jangan mengaburkan masalah,Positif,"['heran', 'iya', 'orang', 'perbedaan', 'data', 'data', 'sumbernya', 'satuyaitu', 'ppatk', 'beda', 'kemenkeu', 'memilah', 'berdasarkan', 'penafsirannya', 'berkaitan', 'internal', 'kemenkeu', 'ga', 'beda', 'mengaburkan']","['heran', 'iya', 'orang', 'beda', 'data', 'data', 'sumber', 'satuyaitu', 'ppatk', 'beda', 'kemenkeu', 'mem', 'dasar', 'tafsir', 'kait', 'internal', 'kemenkeu', 'ga', 'beda', 'abur']"
SolikinSutanto, helooo itu total trx dari yg dilakukan korporasipedagangperorangan yg masuk katagori mencurigakan oleh ppatk sebagian sudah diproses juga ada yg proses hukum framingnya spt total uang panas dicuci kemenkeu kalaupun ada keterlibatanpriksa jangan ga paham masalahny,Positif,"['helooo', 'total', 'trx', 'korporasipedagangperorangan', 'masuk', 'katagori', 'mencurigakan', 'ppatk', 'diproses', 'proses', 'hukum', 'framingnya', 'total', 'uang', 'panas', 'dicuci', 'kemenkeu', 'keterlibatanpriksa', 'ga', 'paham', 'masalahny']","['helooo', 'total', 'trx', 'korporasipedagangperorangan', 'masuk', 'katagori', 'curiga', 'ppatk', 'proses', 'proses', 'hukum', 'framingnya', 'total', 'uang', 'panas', 'cuci', 'kemenkeu', 'keterlibatanpriksa', 'ga', 'paham', 'masalahny']"
HerryNuryadi1, saya lihat anak kolong terus menerus menyudutkan pak kok saya jadi kepikiran klo dia bukan mau melindungi kemenkeu kok terlihat ada kepanikan disitu,Negatif,"['lihat', 'anak', 'kolong', 'menerus', 'menyudutkan', 'terpikirkan', 'melindungi', 'kemenkeu', 'kepanikan', 'disitu']","['lihat', 'anak', 'kolong', 'terus', 'sudut', 'pikir', 'lindung', 'kemenkeu', 'panik', 'situ']"
SolitaireMawar, ber arti kemenkeu di kuasai mafia yg radikal,Negatif,"['ber', 'arti', 'kemenkeu', 'kuasai', 'mafia', 'radikal']","['ber', 'arti', 'kemenkeu', 'kuasa', 'mafia', 'radikal']"
akupuahx, kok formula e yg gk terbukti dpr oeeii sm kemenkeu ratusan triliun tolol itu do usut tuntas lebih jelas hasilnya,Negatif,"['formula', 'e', 'gk', 'terbukti', 'dpr', 'oeeii', 'sm', 'kemenkeu', 'ratusan', 'triliun', 'tolol', 'do', 'usut', 'tuntas', 'hasilnya']","['formula', 'e', 'gk', 'bukti', 'dpr', 'oeeii', 'sm', 'kemenkeu', 'ratus', 'triliun', 'tolol', 'do', 'usut', 'tuntas', 'hasil']"
studipsi, lomba dari universitas dari kementrian biasanya kementrian yang sering ngadain itu kemenkeu,Positif,"['lomba', 'universitas', 'kementrian', 'kementrian', 'ngadain', 'kemenkeu']","['lomba', 'universitas', 'tri', 'tri', 'ngadain', 'kemenkeu']"
aladzivie, bang itu pengalihan isu di kebakaran pertamina dan skandal kemenkeu t,Negatif,"['bang', 'pengalihan', 'isu', 'kebakaran', 'pertamina', 'skandal', 'kemenkeu', 't']","['bang', 'alih', 'isu', 'bakar', 'pertamina', 'skandal', 'kemenkeu', 't']"
anglerboncos1, episode kemenkeu mulai terlihat hasilnya,Negatif,"['episode', 'kemenkeu', 'hasilnya']","['episode', 'kemenkeu', 'hasil']"
G0P4NK_G0P4NG_7, perjuangan ada dugaan kasus rp triliun di kemenkeu kenapa pdip menolak dibentuk pansus mas,Negatif,"['perjuangan', 'dugaan', 'rp', 'triliun', 'kemenkeu', 'pdip', 'menolak', 'dibentuk', 'panitia khusus', 'mas']","['juang', 'duga', 'rp', 'triliun', 'kemenkeu', 'pdip', 'tolak', 'bentuk', 'panitia khusus', 'mas']"
Metro_TV,menurut ketua kpk firli bahuri untuk kepentingan penyidikan penahanan rafaelaluntrisambodo akan dilakukan selama hari mulai tanggal april sampai dengan april di rumah tahanan kpk di gedung merah putih breakingnewsmetrotv kasusgratifikasi kemenkeu,Positif,"['ketua', 'kpk', 'firli', 'bahuri', 'kepentingan', 'penyidikan', 'penahanan', 'rafaelaluntrisambodo', 'tanggal', 'april', 'april', 'rumah', 'tahanan', 'kpk', 'gedung', 'merah', 'putih', 'breakingnewsmetrotv', 'kasusgratifikasi', 'kemenkeu']","['ketua', 'kpk', 'firli', 'bahuri', 'penting', 'sidi', 'tahan', 'rafaelaluntrisambodo', 'tanggal', 'april', 'april', 'rumah', 'tahan', 'kpk', 'gedung', 'merah', 'putih', 'breakingnewsmetrotv', 'kasusgratifikasi', 'kemenkeu']"
SolikinSutanto, betul sekali itu kan jumlah trx mencurigakan ppatk dari dan lucu kalo digembar gemborkan sbg jumlah korupsipencucian uang kemenkeu salah satu trx besar t yg melibatkan entitas bahkan sudah proses hukum tinggal bedah trx lain yg indikasi kuat ada korupsicuci uang,Positif,"['trx', 'mencurigakan', 'ppatk', 'lucu', 'digembar', 'gemborkan', 'sbg', 'korupsipencucian', 'uang', 'kemenkeu', 'salah', 'trx', 't', 'melibatkan', 'entitas', 'proses', 'hukum', 'tinggal', 'bedah', 'trx', 'indikasi', 'kuat', 'korupsicuci', 'uang']","['trx', 'curiga', 'ppatk', 'lucu', 'digembar', 'gembor', 'sbg', 'korupsipencucian', 'uang', 'kemenkeu', 'salah', 'trx', 't', 'libat', 'entitas', 'proses', 'hukum', 'tinggal', 'bedah', 'trx', 'indikasi', 'kuat', 'korupsicuci', 'uang']"
hendrowijonarko, lah bener juga sih dpr harus dipertanyakan antara gaji dengan kinerja gorden dan sederet anggaran fasilitas lainnya harusnya sudah lama dibahas dari lama jangan cuman pajak amp kemenkeu doang,Positif,"['sih', 'dpr', 'gaji', 'kinerja', 'gorden', 'sederet', 'anggaran', 'fasilitas', 'dibahas', 'cuman', 'pajak', 'amp', 'kemenkeu', 'doang']","['sih', 'dpr', 'gaji', 'kerja', 'gorden', 'deret', 'anggar', 'fasilitas', 'bahas', 'cuman', 'pajak', 'amp', 'kemenkeu', 'doang']"
BBerizik, bocil th mampu menggoyang kemenkeu terimakasih agnes ,Negatif,"['bocil', 'th', 'menggoyang', 'kemenkeu', 'terimakasih', 'agnes']","['bocil', 'th', 'goyang', 'kemenkeu', 'terimakasih', 'agnes']"
GarrethMaudys, thank you agnes uchiha netizen emang benci padamu tapi kpk dan kemenkeu keknya berterima kasih padamu,Negatif,"['thank', 'you', 'agnes', 'uchiha', 'netizen', 'emang', 'benci', 'padamu', 'kpk', 'kemenkeu', 'kayaknya', 'berterima', 'kasih', 'padamu']","['thank', 'you', 'agnes', 'uchiha', 'netizen', 'emang', 'benci', 'pada', 'kpk', 'kemenkeu', 'kayak', 'terima', 'kasih', 'pada']"
curoci1, makanya kalo lihat berita jangan sepotong dari ppatk kemenkeu dan mahfud md sdh bilang kalo itu bukan korupsi lihat lagi dan baca lagi beritanya tambahan harun masiku loncat ke pdip dari demokrat sdh tau dong knp loncat ,Negatif,"['lihat', 'berita', 'sepotong', 'ppatk', 'kemenkeu', 'mahfud', 'md', 'sdh', 'bilang', 'korupsi', 'lihat', 'baca', 'beritanya', 'tambahan', 'harun', 'masiku', 'loncat', 'pdip', 'demokrat', 'sdh', 'loncat']","['lihat', 'berita', 'potong', 'ppatk', 'kemenkeu', 'mahfud', 'md', 'sdh', 'bilang', 'korupsi', 'lihat', 'baca', 'berita', 'tambah', 'harun', 'mas', 'loncat', 'pdip', 'demokrat', 'sdh', 'loncat']"
Politicadialog, setelah gw pelajari ini grand design nya sebelum kejadian impor dan ekspor emas batangan ini gw rasa kemenkeu cukai udh bnr aturannya begitubkn mrk ygbuat cuma balik lagi siapa hakim yg menangkan pk para pengusaha emas itu itu juga konsorsium pengusaha emas juga pastinya,Positif,"['pelajari', 'grand', 'design', 'nya', 'kejadian', 'impor', 'ekspor', 'emas', 'batangan', 'kemenkeu', 'cukai', 'udh', 'bnr', 'aturannya', 'begitubkn', 'mrk', 'ygbuat', 'hakim', 'menangkan', 'penjahat kelamin', 'pengusaha', 'emas', 'konsorsium', 'pengusaha', 'emas', 'pastinya']","['ajar', 'grand', 'design', 'nya', 'jadi', 'impor', 'ekspor', 'emas', 'batang', 'kemenkeu', 'cukai', 'udh', 'bnr', 'atur', 'begitubkn', 'mrk', 'ygbuat', 'hakim', 'menang', 'jahat kelamin', 'usaha', 'emas', 'konsorsium', 'usaha', 'emas', 'pasti']"
FernandaRaihan, kemarin dosen ngomong tentang poin a dan b tapi aku lupa tanggapan beliau apa jika mereka dipisah dari kemenkeu,Positif,"['kemarin', 'dosen', 'bicara', 'poin', 'a', 'b', 'lupa', 'tanggapan', 'beliau', 'dipisah', 'kemenkeu']","['kemarin', 'dosen', 'bicara', 'poin', 'a', 'b', 'lupa', 'tanggap', 'beliau', 'pisah', 'kemenkeu']"
epewse, ah pernah ngga asn kemenkeu bulan nge camp di hutan bisa berak darah tuh,Negatif,"['ah', 'asn', 'kemenkeu', 'nge', 'camp', 'hutan', 'berak', 'darah', 'tuh']","['ah', 'asn', 'kemenkeu', 'nge', 'camp', 'hutan', 'berak', 'darah', 'tuh']"
